episode,cumulative_reward
0,15.78624153137207
1,200.15797424316406
2,73.01978302001953
3,200.029296875
4,199.7262725830078
5,200.01797485351562
6,199.9253387451172
7,199.99322509765625
8,200.08839416503906
9,137.1441650390625
10,199.9442596435547
11,200.0139923095703
12,200.18797302246094
13,200.17283630371094
14,199.94479370117188
15,200.0810089111328
16,199.93594360351562
17,200.0391082763672
18,199.8763427734375
19,199.9744873046875
20,200.10597229003906
21,199.9409942626953
22,200.06393432617188
23,200.10972595214844
24,200.1280975341797
25,200.02267456054688
26,199.9247283935547
27,199.93247985839844
28,200.08432006835938
29,199.78248596191406
30,199.8872528076172
31,200.18869018554688
32,200.14578247070312
33,200.13198852539062
34,200.01625061035156
35,199.93724060058594
36,199.96839904785156
37,199.89715576171875
38,200.1075439453125
39,200.12432861328125
40,199.9891357421875
41,200.01560974121094
42,200.13140869140625
43,199.88816833496094
44,109.84748077392578
45,199.85452270507812
46,200.18789672851562
47,198.08973693847656
48,200.12786865234375
49,199.96144104003906
50,200.0482940673828
51,200.116455078125
52,199.89048767089844
53,199.77447509765625
54,200.07798767089844
55,200.1046600341797
56,200.09849548339844
57,200.0626678466797
58,199.9441375732422
59,200.13711547851562
60,200.01376342773438
61,199.8236083984375
62,200.06939697265625
63,199.9714813232422
64,199.7218017578125
65,200.00709533691406
66,200.13333129882812
67,200.0809783935547
68,200.21282958984375
69,200.12359619140625
70,199.84024047851562
71,200.1875762939453
72,199.88417053222656
73,155.28598022460938
74,200.04281616210938
75,199.90794372558594
76,199.91586303710938
77,199.93557739257812
78,199.96632385253906
79,199.98988342285156
80,199.89002990722656
81,199.92486572265625
82,200.13490295410156
83,199.97735595703125
84,199.96009826660156
85,200.00869750976562
86,200.03048706054688
87,199.8791046142578
88,200.03060913085938
89,199.9954071044922
90,200.0670166015625
91,199.99365234375
92,199.82200622558594
93,199.97311401367188
94,199.93896484375
95,199.7867431640625
96,200.1519317626953
97,199.8679656982422
98,200.04762268066406
99,199.8448028564453
